# KAPUTNIK Flight Data v4
# Sample rate: 500 Hz
# Samples: 7041
# Accel range: +/-16 g
# Gyro range: +/-2000 dps
# Epoch start: 1776857918153
epoch_ms,ax,ay,az,gx,gy,gz,gp14,mx,my,mz,mag_valid
1776862213120,-1,-1,-1,-1,-1,-1,255,-1,-1,-1,255
1776862213120,-1,-1,-1,-1,-1,-1,255,-1,-1,-1,255
1776862213120,-1,-1,-1,-1,-1,-1,255,-1,-1,-1,255
1776862213120,-1,-1,-1,-1,-1,-1,255,-1,-1,-1,255
1776862213120,-1,-1,-1,-1,-1,-1,255,-1,-1,-1,255
1776862213120,-1,-1,-1,-1,-1,-1,255,-1,-1,-1,255
1776862213120,-1,-1,-1,-1,-1,-1,255,-1,-1,-1,255
1776862213120,-1,-1,-1,-1,-1,-1,255,-1,-1,-1,255
1776862213120,-1,-1,-1,-1,-1,-1,255,-1,-1,-1,255
1776862213120,-1,-1,-1,-1,-1,-1,255,-1,-1,-1,255
1776862213120,-1,-1,-1,-1,-1,-1,255,-1,-1,-1,255
1776862213120,-1,-1,-1,-1,-1,-1,255,-1,-1,-1,255
1776862213120,-1,-1,-1,-1,-1,-1,255,-1,-1,-1,255
1776862213120,-1,-1,-1,-1,-1,-1,255,-1,-1,-1,255
1776862213120,-1,-1,-1,-1,-1,-1,255,-1,-1,-1,255
1776862213120,-1,-1,-1,-1,-1,-1,255,-1,-1,-1,255
1776862213120,-1,-1,-1,-1,-1,-1,255,-1,-1,-1,255
1776862213120,-1,-1,-1,-1,-1,-1,255,-1,-1,-1,255
1776862213120,-1,-1,-1,-1,-1,-1,255,-1,-1,-1,255
1776862213120,-1,-1,-1,-1,-1,-1,255,-1,-1,-1,255
1776862213120,-1,-1,-1,-1,-1,-1,255,-1,-1,-1,255
1776862213120,-1,-1,-1,-1,-1,-1,255,-1,-1,-1,255
1776862213120,-1,-1,-1,-1,-1,-1,255,-1,-1,-1,255
1776862213120,-1,-1,-1,-1,-1,-1,255,-1,-1,-1,255
1776862213120,-1,-1,-1,-1,-1,-1,255,-1,-1,-1,255
1776862213120,-1,-1,-1,-1,-1,-1,255,-1,-1,-1,255
1776862213120,-1,-1,-1,-1,-1,-1,255,-1,-1,-1,255
1776862213120,-1,-1,-1,-1,-1,-1,255,-1,-1,-1,255
1776862213120,-1,-1,-1,-1,-1,-1,255,-1,-1,-1,255
1776862213120,-1,-1,-1,-1,-1,-1,255,-1,-1,-1,255
1776862213120,-1,-1,-1,-1,-1,-1,255,-1,-1,-1,255
1776862213120,-1,-1,-1,-1,-1,-1,255,-1,-1,-1,255
1776862213120,-1,-1,-1,-1,-1,-1,255,-1,-1,-1,255
1776862213120,-1,-1,-1,-1,-1,-1,255,-1,-1,-1,255
1776862213120,-1,-1,-1,-1,-1,-1,255,-1,-1,-1,255
1776862213120,-1,-1,-1,-1,-1,-1,255,-1,-1,-1,255
1776862213120,-1,-1,-1,-1,-1,-1,255,-1,-1,-1,255
1776862213120,-1,-1,-1,-1,-1,-1,255,-1,-1,-1,255
1776862213120,-1,-1,-1,-1,-1,-1,255,-1,-1,-1,255
1776862213120,-1,-1,-1,-1,-1,-1,255,-1,-1,-1,255
1776862213120,-1,-1,-1,-1,-1,-1,255,-1,-1,-1,255
1776862213120,-1,-1,-1,-1,-1,-1,255,-1,-1,-1,255
1776862213120,-1,-1,-1,-1,-1,-1,255,-1,-1,-1,255
1776862213120,-1,-1,-1,-1,-1,-1,255,-1,-1,-1,255
1776862213120,-1,-1,-1,-1,-1,-1,255,-1,-1,-1,255
1776862213120,-1,-1,-1,-1,-1,-1,255,-1,-1,-1,255
1776862213120,-1,-1,-1,-1,-1,-1,255,-1,-1,-1,255
1776862213120,-1,-1,-1,-1,-1,-1,255,-1,-1,-1,255
1776862213120,-1,-1,-1,-1,-1,-1,255,-1,-1,-1,255
1776862213120,-1,-1,-1,-1,-1,-1,255,-1,-1,-1,255
1776862213120,-1,-1,-1,-1,-1,-1,255,-1,-1,-1,255
1776862213120,-1,-1,-1,-1,-1,-1,255,-1,-1,-1,255
1776862213120,-1,-1,-1,-1,-1,-1,255,-1,-1,-1,255
1776862213120,-1,-1,-1,-1,-1,-1,255,-1,-1,-1,255
1776862213120,-1,-1,-1,-1,-1,-1,255,-1,-1,-1,255
1776862213120,-1,-1,-1,-1,-1,-1,255,-1,-1,-1,255
1776862213120,-1,-1,-1,-1,-1,-1,255,-1,-1,-1,255
1776862213120,-1,-1,-1,-1,-1,-1,255,-1,-1,-1,255
1776862213120,-1,-1,-1,-1,-1,-1,255,-1,-1,-1,255
1776862213120,-1,-1,-1,-1,-1,-1,255,-1,-1,-1,255
1776862213120,-1,-1,-1,-1,-1,-1,255,-1,-1,-1,255
1776862213120,-1,-1,-1,-1,-1,-1,255,-1,-1,-1,255
1776862213120,-1,-1,-1,-1,-1,-1,255,-1,-1,-1,255
1776862213120,-1,-1,-1,-1,-1,-1,255,-1,-1,-1,255
1776862213120,-1,-1,-1,-1,-1,-1,255,-1,-1,-1,255
1776862213120,-1,-1,-1,-1,-1,-1,255,-1,-1,-1,255
