# KAPUTNIK Flight Data v4
# Sample rate: 500 Hz
# Samples: 5608
# Accel range: +/-16 g
# Gyro range: +/-2000 dps
# Epoch start: 1776860123153
epoch_us,ax,ay,az,gx,gy,gz,gp14,mx,my,mz,mag_valid
1776864418120295,-1,-1,-1,-1,-1,-1,255,-1,-1,-1,255
1776864418120295,-1,-1,-1,-1,-1,-1,255,-1,-1,-1,255
1776864418120295,-1,-1,-1,-1,-1,-1,255,-1,-1,-1,255
1776864418120295,-1,-1,-1,-1,-1,-1,255,-1,-1,-1,255
1776864418120295,-1,-1,-1,-1,-1,-1,255,-1,-1,-1,255
1776864418120295,-1,-1,-1,-1,-1,-1,255,-1,-1,-1,255
1776864418120295,-1,-1,-1,-1,-1,-1,255,-1,-1,-1,255
1776864418120295,-1,-1,-1,-1,-1,-1,255,-1,-1,-1,255
1776864418120295,-1,-1,-1,-1,-1,-1,255,-1,-1,-1,255
1776864418120295,-1,-1,-1,-1,-1,-1,255,-1,-1,-1,255
1776864418120295,-1,-1,-1,-1,-1,-1,255,-1,-1,-1,255
1776864418120295,-1,-1,-1,-1,-1,-1,255,-1,-1,-1,255
1776864418120295,-1,-1,-1,-1,-1,-1,255,-1,-1,-1,255
1776864418120295,-1,-1,-1,-1,-1,-1,255,-1,-1,-1,255
1776864418120295,-1,-1,-1,-1,-1,-1,255,-1,-1,-1,255
1776864418120295,-1,-1,-1,-1,-1,-1,255,-1,-1,-1,255
1776864418120295,-1,-1,-1,-1,-1,-1,255,-1,-1,-1,255
1776864418120295,-1,-1,-1,-1,-1,-1,255,-1,-1,-1,255
1776864418120295,-1,-1,-1,-1,-1,-1,255,-1,-1,-1,255
1776864418120295,-1,-1,-1,-1,-1,-1,255,-1,-1,-1,255
1776864418120295,-1,-1,-1,-1,-1,-1,255,-1,-1,-1,255
1776864418120295,-1,-1,-1,-1,-1,-1,255,-1,-1,-1,255
1776864418120295,-1,-1,-1,-1,-1,-1,255,-1,-1,-1,255
1776864418120295,-1,-1,-1,-1,-1,-1,255,-1,-1,-1,255
1776864418120295,-1,-1,-1,-1,-1,-1,255,-1,-1,-1,255
1776864418120295,-1,-1,-1,-1,-1,-1,255,-1,-1,-1,255
1776864418120295,-1,-1,-1,-1,-1,-1,255,-1,-1,-1,255
1776864418120295,-1,-1,-1,-1,-1,-1,255,-1,-1,-1,255
1776864418120295,-1,-1,-1,-1,-1,-1,255,-1,-1,-1,255
1776864418120295,-1,-1,-1,-1,-1,-1,255,-1,-1,-1,255
1776864418120295,-1,-1,-1,-1,-1,-1,255,-1,-1,-1,255
1776864418120295,-1,-1,-1,-1,-1,-1,255,-1,-1,-1,255
1776864418120295,-1,-1,-1,-1,-1,-1,255,-1,-1,-1,255
1776864418120295,-1,-1,-1,-1,-1,-1,255,-1,-1,-1,255
1776864418120295,-1,-1,-1,-1,-1,-1,255,-1,-1,-1,255
1776864418120295,-1,-1,-1,-1,-1,-1,255,-1,-1,-1,255
1776864418120295,-1,-1,-1,-1,-1,-1,255,-1,-1,-1,255
1776864418120295,-1,-1,-1,-1,-1,-1,255,-1,-1,-1,255
1776864418120295,-1,-1,-1,-1,-1,-1,255,-1,-1,-1,255
1776864418120295,-1,-1,-1,-1,-1,-1,255,-1,-1,-1,255
1776864418120295,-1,-1,-1,-1,-1,-1,255,-1,-1,-1,255
1776864418120295,-1,-1,-1,-1,-1,-1,255,-1,-1,-1,255
1776864418120295,-1,-1,-1,-1,-1,-1,255,-1,-1,-1,255
1776864418120295,-1,-1,-1,-1,-1,-1,255,-1,-1,-1,255
1776864418120295,-1,-1,-1,-1,-1,-1,255,-1,-1,-1,255
1776864418120295,-1,-1,-1,-1,-1,-1,255,-1,-1,-1,255
1776864418120295,-1,-1,-1,-1,-1,-1,255,-1,-1,-1,255
1776864418120295,-1,-1,-1,-1,-1,-1,255,-1,-1,-1,255
1776864418120295,-1,-1,-1,-1,-1,-1,255,-1,-1,-1,255
1776864418120295,-1,-1,-1,-1,-1,-1,255,-1,-1,-1,255
1776864418120295,-1,-1,-1,-1,-1,-1,255,-1,-1,-1,255
1776864418120295,-1,-1,-1,-1,-1,-1,255,-1,-1,-1,255
1776864418120295,-1,-1,-1,-1,-1,-1,255,-1,-1,-1,255
1776864418120295,-1,-1,-1,-1,-1,-1,255,-1,-1,-1,255
1776864418120295,-1,-1,-1,-1,-1,-1,255,-1,-1,-1,255
1776864418120295,-1,-1,-1,-1,-1,-1,255,-1,-1,-1,255
1776864418120295,-1,-1,-1,-1,-1,-1,255,-1,-1,-1,255
1776864418120295,-1,-1,-1,-1,-1,-1,255,-1,-1,-1,255
1776864418120295,-1,-1,-1,-1,-1,-1,255,-1,-1,-1,255
1776864418120295,-1,-1,-1,-1,-1,-1,255,-1,-1,-1,255
1776864418120295,-1,-1,-1,-1,-1,-1,255,-1,-1,-1,255
1776864418120295,-1,-1,-1,-1,-1,-1,255,-1,-1,-1,255
1776864418120295,-1,-1,-1,-1,-1,-1,255,-1,-1,-1,255
1776864418120295,-1,-1,-1,-1,-1,-1,255,-1,-1,-1,255
1776864418120295,-1,-1,-1,-1,-1,-1,255,-1,-1,-1,255
1776864418120295,-1,-1,-1,-1,-1,-1,255,-1,-1,-1,255
1776864418120295,-1,-1,-1,-1,-1,-1,255,-1,-1,-1,255
1776864418120295,-1,-1,-1,-1,-1,-1,255,-1,-1,-1,255
1776864418120295,-1,-1,-1,-1,-1,-1,255,-1,-1,-1,255
1776864418120295,-1,-1,-1,-1,-1,-1,255,-1,-1,-1,255
1776864418120295,-1,-1,-1,-1,-1,-1,255,-1,-1,-1,255
1776864418120295,-1,-1,-1,-1,-1,-1,255,-1,-1,-1,255
1776864418120295,-1,-1,-1,-1,-1,-1,255,-1,-1,-1,255
1776864418120295,-1,-1,-1,-1,-1,-1,255,-1,-1,-1,255
1776864418120295,-1,-1,-1,-1,-1,-1,255,-1,-1,-1,255
1776864418120295,-1,-1,-1,-1,-1,-1,255,-1,-1,-1,255
1776864418120295,-1,-1,-1,-1,-1,-1,255,-1,-1,-1,255
1776864418120295,-1,-1,-1,-1,-1,-1,255,-1,-1,-1,255
1776864418120295,-1,-1,-1,-1,-1,-1,255,-1,-1,-1,255
1776864418120295,-1,-1,-1,-1,-1,-1,255,-1,-1,-1,255
1776864418120295,-1,-1,-1,-1,-1,-1,255,-1,-1,-1,255
1776864418120295,-1,-1,-1,-1,-1,-1,255,-1,-1,-1,255
1776864418120295,-1,-1,-1,-1,-1,-1,255,-1,-1,-1,255
1776864418120295,-1,-1,-1,-1,-1,-1,255,-1,-1,-1,255
1776864418120295,-1,-1,-1,-1,-1,-1,255,-1,-1,-1,255
1776864418120295,-1,-1,-1,-1,-1,-1,255,-1,-1,-1,255
1776864418120295,-1,-1,-1,-1,-1,-1,255,-1,-1,-1,255
1776864418120295,-1,-1,-1,-1,-1,-1,255,-1,-1,-1,255
1776864418120295,-1,-1,-1,-1,-1,-1,255,-1,-1,-1,255
1776864418120295,-1,-1,-1,-1,-1,-1,255,-1,-1,-1,255
1776864418120295,-1,-1,-1,-1,-1,-1,255,-1,-1,-1,255
1776864418120295,-1,-1,-1,-1,-1,-1,255,-1,-1,-1,255
1776864418120295,-1,-1,-1,-1,-1,-1,255,-1,-1,-1,255
